id,name,year,type,Regie,age,Produktionsfirma,sector
dvvahe,Die Verschwoerung Verrat auf hoechster Ebene,2011,2,David Hare,49,Koch Media GmbH,1
zdt,Zorn der Titanen,2012,2,Jonathan Liebesmann,50,Warner Bros,1
ge,Große Erwartungen,2012,2,Mike Newell,50,Fox,1
jbsky,James Bond 007 Skyfall,2012,2,Sam Mendes,50,Sony Pictures Entertainment,1
tiw,The Invisible Woman,2013,2,Ralph Fiennes,51,Sony Pictures Classics,1
gbh,Grand Budapest Hotel,2014,2,Wes Anderson,52,Fox Searchlight,1
dvtg,Die Verschwörung Tödliche Geschäfte,2014,2,David Hare,52,Koch Media GmbH,1
dvgj,Die Verschwörung Gnadenlose Jagd,2014,2,David Hare,52,Koch Media GmbH,1
rev,Rev,2014,2,Peter Cattaneo,52,BBC America,2
mvd,Mesyats v derevne,2014,2,Vera Glagoleva,52,Warner Bros,1
masm,Man and Superman,2015,2,Simon Godwin,53,Royal National Theatre,4
abs,A Bigger Splash,2015,2,Luca Guadagnino,53,Fox Searchlight,1
jbspe,James Bond 007 Spectre,2015,2,Sam Mendes,53,Sony Pictures Entertainment,1
bshi,Baumeister Solness,2016,2,Matthew Warchus,54,Old Vic Theatre,4
rthree,Richard III,2016,2,Rupert Goold,54,Almeida Theatre,4
hc,Hail Caesar,2016,2,Ethan Coen,54,Universal Pictures,1
hctwo,Hail Caesar two,2016,2,Joel Coen,54,Universal Pictures,1
tw,The Works,2016,2,Elliot Barnes Worrell,54,Kickstarter,1
kdts,Kubo Der tapfere Samurai,2016,2,Travis Knight,54,Focus Features,1
tlbm,The Lego Batman Movie,2017,2,Chris McKay,55,Warner Bros,1
seas,Sea Sorrow,2017,2,Vanessa Redgrave,55,Dissent Projects LTD,1
auc,Antonius und Cleopatra,2018,2,Simon Godwin,56,Royal National Theatre,4
ntwc,Nurejew The White Crow,2018,2,Ralph Fiennes,56,Sony Pictures Classics,1
haw,Holmes and Watson,2018,2,Etan Cohen,56,Columbia Pictures,1
offs,Official Secrets,2019,2,Gavin Hood,57,IFC Films,1
tlmtwo,The Lego Movie 2,2019,2,Mike Mitchell,57,Warner Bros,1
coup,Coup 53,2019,2,Taghi Amirani,57,Amirani Media,1
btdthe,Beat the Devil,2020,2,Nicholas Hytner,58,Bridge Theatre,4
dfrddd,Die fantastische Reise des Dr Dolittle,2020,2,Stephen Gaghan,58,Universal Pictures,1
