id,name,type,age,year,sector,company,regisseur,genre,country
kfp,Kung Fu Panda 2,2,53,2011,1,Dream Works Animation,Jennifer Yuh Nelson,8,US
ttss,Tinker Tailor Soldier Spy,2,54,2012,1,Studio Canal,Tomas Alfredson,9,FRA
lless,Lawless,2,54,2012,1,Annapurna Pictures,John Hillcoat,2,US
tdnr,The Dark Night Rises,2,54,2012,1,Warner Bros Pictures,Christopher Nolan,1,US
gag,Guns and Girls,2,54,2012,1,Freefall Films,Michael Winnick,3,UK
tnd,David Bowie The Next Day,2,55,2013,5,Columbia Records,Floria Sigismondi,9,US
paranoia,Paranoia,2,55,2013,1,Global Road Entertainment,Robert Luketic,3,US
lpm,La Petite Mort,2,55,2013,1,,Alex Prager,9,
rc,RoboCop,2,56,2014,1,Orion Pictures Corporation,Paul Verhoeven,1,US
pdar,Planet der Affen Revolution,2,56,2014,1,20th Century Fox,Matt Reeves,1,US
kind,Kind 44,2,57,2015,1,Summit Entertainment,Daniel Espinosa,3,US
md,Man Down,2,57,2015,1,Krannel Pictures,Dito Montiel,9,US
ld,Lego Dimensions,2,57,2015,6,TT Games,,9,UK
djp,Das Jerico Projekt,2,58,2016,1,Nu Image,Ariel Vromen,1,US
dssn,Den Sternen so nah,2,59,2017,1,Huayi Brothers,Peter Chelsom,2,CHN
kb,Killers Bodyguard,2,59,2017,1,Nu Image,Patrick Hughes,6,US
dds,Die dunkelste Stunde,2,59,2017,1,Working Title Films,Joe Wright,9,UK
thb,The Hitmans Bodyguard,2,59,2017,1,Nu Image,Patrick Hughes,6,US
hk,Hunter Killer,2,60,2018,1,Nu Image,Donovan Marsh,1,US
tau,Tau,2,60,2018,1,Kaos Theory Entertainment,Frederica D alessandro,3,US
ka,Killers Anonymous,2,61,2019,1,Posterity Pictures,Martin Owen,1,US
ship,The Ship ,2,61,2019,1,Tucker Tooley Entertainment,Michael Goi,4,US
dg,Die Geldwaescherei,2,61,2019,1,Netflix,Steven Soderbergh,2,US
tc,The Courier,2,61,2019,1,FilmNation Entertainment,Zackary Adler,3,US
