from,to,relation
op,kin,1
op,owe,1
op,tt,1
op,dathz,1
op,kotn,1
op,lnis,1
op,ame,1
siwh,kin,3
pp,owe,3
sfe,tt,3
deek,dathz,3
ac,kotn,3
edwr,lnis,3
joca,ame,3
pfat,kin,2
ums,owe,2
eis,tt,2
lb,tt,2
bbc,dathz,2
rpc,dathz,2
tbs,kotn,2
wb,kotn,2
ffi,lnis,2
f4,lnis,2
c83,ame,2
hepi,ame,2
