id,name,type,age,year,sector,company,regisseur,genre,country
spt,Sony Pictures Television,2,,,9,,,,
brons,Bron Studios,2,,,9,,,,
qsp,Quay Street Productions,2,,,9,,,,
wtm,Wtwo Media,2,,,9,,,,
netflix,Netflix,2,,,9,,,,
mgm,Metro Goldwyn Mayer,2,,,9,,,,
be,Blink Entertainment,2,,,9,,,,
prada,Prada,2,,,9,,,,
nexus,Nexus Studios,2,,,9,,,,
apple,Apple,2,,,9,,,,
pld,Polydor,2,,,9,,,,
tya,Treyarch,2,,,9,,,,
dr,Decca Records,2,,,9,,,,
tb,Tim Burton,1,,,8,,,,
da,David Atkins,1,,,8,,,,
gd,Gaby Dellal,1,,,8,,,,
tos,Thaddeus O Sullivan,1,,,8,,,,
mp,Michael Petroni,1,,,8,,,,
mj,Mick Jackon,1,,,8,,,,
pt,Pete Travis,1,,,8,,,,
bs,Brad Silberling,1,,,8,,,,
hc,Hans Canosa,1,,,8,,,,
sb,Steve Box,1,,,8,,,,
kg,Kenneth Glenaan,1,,,8,,,,
pw,Paul Weiland,1,,,8,,,,
thoop,Tom Hooper,1,,,8,,,,
jh,James Hawes,1,,,8,,,,
ml,Max Lang,1,,,8,,,,
sjc,S J Clarkson,1,,,8,,,,
rg,Ricky Gervais,1,,,8,,,,
uh,Uwe Heidschoetter,1,,,8,,,,
pha,Philip Andelman,1,,,8,,,,
rp,Roman Polanski,1,,,8,,,,
mn,Mike Newell,1,,,8,,,,
gv,Gore Verbinski,1,,,8,,,,
rl,Richard Laxton,1,,,8,,,,
jpj,Jean Pierre Jeunet,1,,,8,,,,
jr,Johann Renck,1,,,8,,,,
dh,David Hare,1,,,8,,,,
kb,Kenneth Branagh,1,,,8,,,,
sg,Sarah Gravon,1,,,8,,,,
jmb,James Bobin,1,,,8,,,,
pb,Paloma Baeza,1,,,8,,,,
billea,Bille August,1,,,8,,,,
rlanni,Richard Lanni,1,,,8,,,,
gr,Gary Ross,1,,,8,,,,
jb,Jason Blundell,1,,,8,,,,
am,Adrian Munsey,1,,,8,,,,
mo,Magdalena Osinska,1,,,8,,,,
isi,Ivan Silvestrini,1,,,8,,,,
hb,Harry Bradbeer,1,,,8,,,,
csch,Christian Schwochow,1,,,8,,,,
lb,Luigi Bewio,1,,,8,,,,
sl,Sam Leifer,1,,,8,,,,
ba,Bryan Adams,1,,,8,,,,
sn,Sam Neill,1,,,8,,,,
lesmay,Les Mayfield,1,,,8,,,,
jmc,Joseph McGinty Nichol,1,,,8,,,,
