id,name,type,age,year,sector,genre,land,produktion,regie,networth,agent
stabl,Stabl,2,99,99,9,99,99,99,99,99,99
rugr,Rupert Grint,1,1,1988,7,99,99,99,99,50,Sean Liebowitz
seli,Sean Liebowitz,1,99,99,10,99,99,99,99,99,99
thunderpants,Thunderpants,2,14,2002,1,6,UK,Mission Pictures,Peter Hewitt,99,99
drle,Driving Lessons,2,18,2006,1,6,UK,UK Film Council,Jermey Brock,99,99
cherrybomb,Cherrybomb,2,21,2009,1,3,UK,Generation Entertainment,Lisa Barros DSa,99,99
wita,Wild Target,2,22,2010,1,1,UK,Magic Light Productions,Jonathan Lynn,99,99
coflwime,Come Fly With me,2,23,2011,2,6,UK,Little Britian Productions,Paul King,99,99
intowh,Into the White,2,24,2012,1,1,NOR,Film Fund FUZZ,Petter Naess,99,99
amda,American Dad,2,24,2012,2,8,US,20th Century Fox,Seth MacFarlane,99,99
lalechc,Lang lebe Charly C,2,25,2013,1,2,US,Voltage Pictures,Frederik Bond,99,99
cbgb,CBGB,2,25,2013,1,2,US,Unclaimed Freight Productions,Randall Miller,99,99
sucl,Super Clyde,2,25,2013,1,8,US,CBS Entertainment,Michael Fresco,99,99
popa,Postman Pat,2,25,2013,1,8,UK,Rubicon Group Holding,Mike Disa,99,99
moonwalkers,Moonwalkers,2,27,2015,1,6,FR,Will Vinton,Antoine Bardou Jacquet,99,99
snatch,Snatch,2,29,2017,2,1,UK,Exile Entertainment Double Dare You,Guy Ritchie,99,99
sino,Sick Note,2,30,2018,2,6,UK,BBC,Matt Lipsey,99,99
dimodeheab,Die Morde des Herrn ABC,2,30,2018,2,3,UK,Columbia Pictures,Frank Tashlin,99,99
servant,Servant,2,35,2023,2,4,US,King Bert Productions,M Night Shymalan,99,99
gudetocaofcu,Gullimero del Toros Cabinet of Curiosities,2,34,2022,2,4,US,Metro Goldwyn Mayer,Jennifer Kent,99,99
knthca,Knock the Cabin,2,35,2023,1,4,US,Blinding Edge Pictures,M Night Shymalan,99,99
leho,Lego House,2,23,2011,5,2,US,Warner Music Group,Shane Ramirez,99,99
habipepa,Happy Bithday Peter Pan,2,17,2005,2,7,UK,Diverse Productions,Roy Ackerman,99,99
fussball,Fussball,2,25,2013,1,8,ARG,100 Bares,Juan Jose Campanella,99,99
enofma,Enemy of man,2,26,2014,1,2,UK,Universal Studios,Vincent Regan,99,99
trulsh,Tracey Ullmans Show,2,28,2016,2,6,UK,Hell Kite Films,Jamie Dooner,99,99
urmy,Urban Myths,2,29,2017,2,6,UK,Sky Arts,Ben Palmer,99,99
mipi,Mission Pictures,2,99,99,9,99,99,99,99,99,99
ukfico,UK Film Council,2,99,99,9,99,99,99,99,99,99
geen,Generation Entertainment,2,99,99,9,99,99,99,99,99,99
malipr,Magic Light Productions,2,99,99,9,99,99,99,99,99,99
fifufu,Film Fund FUZZ,2,99,99,9,99,99,99,99,99,99
vopi,Voltage Pictures,2,99,99,9,99,99,99,99,99,99
unfrpr,Unclaimed Freight Productions,2,99,99,9,99,99,99,99,99,99
rugrho,Rubicon Group Holding,2,99,99,9,99,99,99,99,99,99
wivi,Will Vinton,2,99,99,9,99,99,99,99,99,99
exendodayo,Exile Entertainment Double Dare You,2,99,99,9,99,99,99,99,99,99
kibepr,King Bert Productions,2,99,99,9,99,99,99,99,99,99
bledpi,Blinding Edge Pictures,2,99,99,9,99,99,99,99,99,99
dipr,Diverse Productions,2,99,99,9,99,99,99,99,99,99
100ba,100 Bares,2,99,99,9,99,99,99,99,99,99
unst,Universal Studios,2,99,99,9,99,99,99,99,99,99
hekifi,Hell Kite Films,2,99,99,9,99,99,99,99,99,99
skar,Sky Arts,2,99,99,9,99,99,99,99,99,99
