id,name,type,age,year,sector,genre,country,production,director,networth,agent,boxoffice
supr,Superfilm Productions,2,0,0,9,0,0,0,0,0,0,0
bbc,British Broadcasting Corporation,2,0,0,9,0,0,0,0,0,0,0
inlien,Infinite Lives Entertainment,2,0,0,9,0,0,0,0,0,0,0
pire,Pixel Revolution Films,2,0,0,9,0,0,0,0,0,0,0
juaskpr,Just a Skosh Productions,2,0,0,9,0,0,0,0,0,0,0
stabl,Stabl,2,0,0,9,0,0,0,0,0,0,0
rugr,Rupert Grint,1,1,1988,7,0,UK,0,0,50,Sean Liebowitz,0
seli,Sean Liebowitz,1,0,0,10,0,0,0,0,0,0,0
thunderpants,Thunderpants,2,14,2002,1,6,UK,Mission Pictures,Peter Hewitt,0,0,3000000
drle,Driving Lessons,2,18,2006,1,6,UK,UK Film Council,Jermey Brock,0,0,1000000
cherrybomb,Cherrybomb,2,21,2009,1,3,UK,Generation Entertainment,Lisa Barros DSa,0,0,30.000
wita,Wild Target,2,22,2010,1,1,UK,Magic Light Productions,Jonathan Lynn,0,0,4000000
coflwime,Come Fly With me,2,23,2011,2,6,UK,Little Britian Productions,Paul King,0,0,0
intowh,Into the White,2,24,2012,1,1,NOR,Film Fund FUZZ,Petter Naess,0,0,700000
amda,American Dad,2,24,2012,2,8,US,20th Century Fox,Seth MacFarlane,0,0,
lalechc,Lang lebe Charly Countryman,2,25,2013,1,2,US,Voltage Pictures,Frederik Bond,0,0,400000
cbgb,CBGB,2,25,2013,1,2,US,Unclaimed Freight Productions,Randall Miller,0,0,40000
sucl,Super Clyde,2,25,2013,1,8,US,CBS Entertainment,Michael Fresco,0,0,0
popa,Postman Pat,2,25,2013,1,8,UK,Rubicon Group Holding,Mike Disa,0,0,9000000
moonwalkers,Moonwalkers,2,27,2015,1,6,FR,Will Vinton,Antoine Bardou Jacquet,0,0,100000
snatch,Snatch,2,29,2017,2,1,UK,Exile Entertainment Double Dare You,Guy Ritchie,0,0,0
sino,Sick Note,2,30,2018,2,6,UK,BBC,Matt Lipsey,0,0,0
dimodeheab,Die Morde des Herrn ABC,2,30,2018,2,3,UK,Columbia Pictures,Frank Tashlin,0,0,0
servant,Servant,2,35,2023,2,4,US,King Bert Productions,M Night Shymalan,0,0,0
gudetocaofcu,Gullimero del Toros Cabinet of Curiosities,2,34,2022,2,4,US,Metro Goldwyn Mayer,Jennifer Kent,0,0,0
knthca,Knock the Cabin,2,35,2023,1,4,US,Blinding Edge Pictures,M Night Shymalan,0,0,53000000
leho,Lego House,2,23,2011,5,9,US,Warner Music Group,Shane Ramirez,0,0,0
habipepa,Happy Bithday Peter Pan,2,17,2005,2,7,UK,Diverse Productions,Roy Ackerman,0,0,0
fussball,Fussball,2,25,2013,1,8,ARG,100 Bares,Juan Jose Campanella,0,0,0
enofma,Enemy of man,2,26,2014,1,2,UK,Universal Studios,Vincent Regan,0,0,0
trulsh,Tracey Ullmans Show,2,28,2016,2,6,UK,Hell Kite Films,Jamie Dooner,0,0,0
urmy,Urban Myths,2,29,2017,2,6,UK,Sky Arts,Ben Palmer,0,0,0
mipi,Mission Pictures,2,0,0,9,0,0,0,0,0,0,0
ukfico,UK Film Council,2,0,0,9,0,0,0,0,0,0,0
geen,Generation Entertainment,2,0,0,9,0,0,0,0,0,0,0
malipr,Magic Light Productions,2,0,0,9,0,0,0,0,0,0,0
fifufu,Film Fund FUZZ,2,0,0,9,0,0,0,0,0,0,0
vopi,Voltage Pictures,2,0,0,9,0,0,0,0,0,0,0
unfrpr,Unclaimed Freight Productions,2,0,0,9,0,0,0,0,0,0,0
rugrho,Rubicon Group Holding,2,0,0,9,0,0,0,0,0,0,0
wivi,Will Vinton,2,0,0,9,0,0,0,0,0,0,0
exendodayo,Exile Entertainment Double Dare You,2,0,0,9,0,0,0,0,0,0,0
kibepr,King Bert Productions,2,0,0,9,0,0,0,0,0,0,0
bledpi,Blinding Edge Pictures,2,0,0,9,0,0,0,0,0,0,0
dipr,Diverse Productions,2,0,0,9,0,0,0,0,0,0,0
100ba,100 Bares,2,0,0,9,0,0,0,0,0,0,0
unst,Universal Studios,2,0,0,9,0,0,0,0,0,0,0
hekifi,Hell Kite Films,2,0,0,9,0,0,0,0,0,0,0
skar,Sky Arts,2,0,0,9,0,0,0,0,0,0,0
pehe,Peter Hewitt,1,0,0,8,0,0,0,0,0,0,0
jebr,Jeremy Brock,1,0,0,8,0,0,0,0,0,0,0
libads,Lisa Barros DSa,1,0,0,8,0,0,0,0,0,0,0
joly,Jonathan Lynn,1,0,0,8,0,0,0,0,0,0,0
paki,Paul King,1,0,0,8,0,0,0,0,0,0,0
pena,Petter Naess,1,0,0,8,0,0,0,0,0,0,0
sema,Seth MacFarlane,1,0,0,8,0,0,0,0,0,0,0
frbo,Frederik Bond,1,0,0,8,0,0,0,0,0,0,0
rami,Randall Miller,1,0,0,8,0,0,0,0,0,0,0
mifr,Michael Fresco,1,0,0,8,0,0,0,0,0,0,0
midi,Mike Disa,1,0,0,8,0,0,0,0,0,0,0
anba,Antoine Bardou Jacquet,1,0,0,8,0,0,0,0,0,0,0
guri,Guy Ritchie,1,0,0,8,0,0,0,0,0,0,0
mali,Matt Lipsey,1,0,0,8,0,0,0,0,0,0,0
frta,Frank Tashlin,1,0,0,8,0,0,0,0,0,0,0
mnish,M Night Shymalan,1,0,0,8,0,0,0,0,0,0,0
jeke,Jennifer Kent,1,0,0,8,0,0,0,0,0,0,0
shra,Shane Ramirez,1,0,0,8,0,0,0,0,0,0,0
roac,Roy Ackerman,1,0,0,8,0,0,0,0,0,0,0
jujoca,Juan Jose Campanella,1,0,0,8,0,0,0,0,0,0,0
vire,Vincent Regan,1,0,0,8,0,0,0,0,0,0,0
jado,Jamie Dooner,1,0,0,8,0,0,0,0,0,0,0
bepa,Ben Palmer,1,0,0,8,0,0,0,0,0,0,0
thplwhiwr,The Play What I Wrote,2,39,2001,4,6,UK,Wyndhams Theatre,Kenneth Branagh,0,0,0
spider,Spider,2,40,2002,1,3,US,Sony Pictures Classics,David Cronenberg,0,0,6000000
dedivomoca,Der Dieb von Monte Carlo,2,40,2002,1,2,US,Fox,Neil Jordan,0,0,6000000
rodr,Roter Drache,2,40,2002,1,4,US,Universal Pictures,Brett Ratner,0,0,210000000
malost,Manhatten Love Story,2,40,2002,1,6,US,Columbia Pictures,Kenneth Branagh,0,0,155000000
thtacu,The Talking Cure,2,41,2003,4,2,UK,Royal National Theatre,Howard Davies,0,0,0
brand,Brand,2,41,2003,4,2,UK,The Royal Shakespeare Company,Adrian Noble,0,0,0
liki,Libertys Kids,2,40,2002,2,8,US,PBS,Judith Reilly,0,0,0
likitwo,Libertys Kids,2,41,2003,2,8,US,PBS,Judith Reilly,0,0,0
frahiofus,Freedom A History of US,2,41,2003,2,7,US,PBS,Philip Kunhardt III,0,0,0
tedatodd,Ten Days to DDay,2,42,2004,1,2,US,AandEs History Channel,Marion Milne,0,0,0
thchglinkldo,The Chumscrubber Glueck in kleinen Dosen,2,43,2005,1,2,US,Picturehouse,Arie Posin,0,0,350.000
chromophobia,Chromophobia,2,43,2005,1,2,CAN,Momentum Pictures,Martha Fiennes,0,0,490.000
deewga,Der ewige Gaertner,2,43,2005,1,2,US,Focus Features,Fernando Meirelles,0,0,82000000
waungraudejanaderi,Wallace und Gromit Auf der Jagd nach dem Riesenkaninchen,2,43,2005,1,8,US,DreamWorks,Steve Box,0,0,194000000
waungraudejanaderitwo,Wallace Gromit Auf der Jagd nach dem Riesenkaninchen,2,43,2005,1,8,US,DreamWorks,Nick Park,0,0,194000000
thwhco,The White Countess,2,43,2005,1,2,US,Sony Pictures Classics,James Ivory,0,0,4000000
hapoanthgooffi,Harry Potter and the Goblet of Fire,2,43,2005,6,9,US,Electronic Arts,Nuno Miranda,0,0,0
juca,Julius Caesar,2,43,2005,4,2,UK,Barbican Centre,Deborah Warner,0,0,0
fahe,Faith Healer,2,44,2006,4,2,UK,GateTheatre,Jonathan Kent,0,0,0
laofthbl,Land of the Blind,2,44,2006,1,3,US,Samuel Goldwyn Films,Robert Edwards,0,0,25.000
beando,Bernard and Doris,2,44,2006,1,6,US,HBO,Bob Balaban,0,0,0
filo,First Love,2,45,2007,4,2,AUS,Sydney Festival,Michael Colgan,0,0,0
hapoanthorofthph,Harry Potter and the Order of the Phoenix,2,45,2007,6,9,US,Electronic Arts,Matt Birch,0,0,0
degodege,Der Gott des Gemetzels,2,46,2008,4,6,UK,Gielgud Theatre,Matthew Warchus,0,0,0
kooe,Koenig Oedipus,2,46,2008,4,2,UK,Royal National Theatre,Jonathan Kent,0,0,0
brseunst,Bruegge sehen und sterben,2,46,2008,1,6,US,Focus Features,Martin McDonagh,0,0,40000000
dihe,Die Herzogin,2,46,2008,1,3,US,Paramount Pictures,Saul Dibb,0,0,43000000
tokothhulo,Toedliches Kommando The Hurt Locker,2,46,2008,1,1,DE,Summit Media,Kathryn Bigelow,0,0,49000000
devo,Der Vorleser,2,46,2008,1,2,US,Weinstein Co,Stephen Daldry,0,0,109000000
thwidr,The Wildest Dream,2,48,2010,1,7,US,National Geographic,Anthony Geffen,0,0,890.000
eizanaknaufaineineab,Eine zauberhafte Nanny Knall auf Fall in ein neues Abenteuer,2,48,2010,1,6,US,Universal Studios,Susanna White,0,0,93000000
kadeti,Kampf der Titanen,2,48,2010,1,2,US,Warner Bros,Louis Leterrier,0,0,493000000
cejudaleunaner,Cemetery Junction Das Leben und andere Ereignisse,2,48,2010,1,2,US,Sony Pictures,Ricky Gervais,0,0,2300000
